Strain,enviro,OD,MIC50
A34,0.5,1.355365879265092,1
A34,1,1.487226036745407,1
A34,2,1.5422089238845147,1
A34,4,1.4048340157480317,1
A34,8,1.526981627296588,1
A34,16,1.6841108661417326,1
A34,32,1.7875741732283466,1
A35,0.5,1.4984658304196161,1
A35,1,1.6179716421037929,1
A35,2,1.6882739154193491,1
A35,4,1.636815550415179,1
A35,8,1.6457543274346826,1
A35,16,1.7175866616815056,1
A35,32,1.5838271244797424,1
A36,0.5,1.0668386660636857,1
A36,1,1.5960069361542357,1
A36,2,1.6661100327987963,1
A36,4,1.5327856880022697,1
A36,8,1.5904096993802592,1
A36,16,1.6344535297328624,1
A36,32,1.5571933106560039,1
A37,0.5,1.38542750417898,1
A37,1,1.5788513460323268,1
A37,2,1.6008834545007105,1
A37,4,1.664269205046974,1
A37,8,1.6573190131011117,1
A37,16,1.6571800092621944,1
A37,32,1.3988413746344945,1
A38,0.5,1.2694692658842741,1
A38,1,1.437405449338844,1
A38,2,1.6119328262844441,1
A38,4,1.4910633343785016,1
A38,8,1.4492881643649274,1
A38,16,1.3623958107366922,1
A38,32,1.2126550346658127,1
A39,0.5,1.4054458925021218,1
A39,1,1.4625220979130695,1
A39,2,1.6574353980239256,1
A39,4,1.7233642393761632,1
A39,8,1.7409918565575038,1
A39,16,1.5954669464348965,1
A39,32,1.5849835617675794,1
A40,0.5,1.4057626651032866,>32
A40,1,1.5142121981967485,>32
A40,2,1.6789142938158352,>32
A40,4,1.6859740279645787,>32
A40,8,1.685823820855031,>32
A40,16,1.7562709552329168,>32
A40,32,1.4245385537967528,>32
A41,0.5,1.2578213155784472,1
A41,1,1.4082043086018345,1
A41,2,1.4811716663998975,1
A41,4,1.6661263594281424,1
A41,8,1.5772388508377748,1
A41,16,1.551719785597169,1
A41,32,1.5385310332251125,1
A42,0.5,1.408112075504402,1
A42,1,1.503415982102524,1
A42,2,1.6559172648214433,1
A42,4,1.5464079652051468,1
A42,8,1.598945371129506,1
A42,16,1.5795538822475537,1
A42,32,1.380302575945013,1
A43,0.5,1.4909741701815427,1
A43,1,1.5787762076859269,1
A43,2,1.5388487816888405,1
A43,4,1.4772820312904553,1
A43,8,1.4843674737935355,1
A43,16,1.583755167282686,1
A43,32,1.3625744621189695,1
A44,0.5,1.3577406601442779,1
A44,1,1.6304723187828034,1
A44,2,1.5935606435716894,1
A44,4,1.5950537000970826,1
A44,8,1.5978739179783812,1
A44,16,1.575146279758504,1
A44,32,1.5983716034868456,1
A45,0.5,1.3239696677763357,1
A45,1,1.624391157125715,1
A45,2,1.3840060005334895,1
A45,4,1.4881702369949694,1
A45,8,1.509514712156301,1
A45,16,1.6579667360311807,1
A45,32,1.6743548162112294,1
A46,0.5,1.531000400793062,1
A46,1,1.7085132052707974,1
A46,2,1.564334253217614,1
A46,4,1.4938110666422966,1
A46,8,1.6349377623288945,1
A46,16,1.4619230198650746,1
A46,32,1.6784725768207192,1
A47,0.5,1.4600511684935082,1
A47,1,1.7207333996799659,1
A47,2,1.7428340633771975,1
A47,4,1.6490759576582255,1
A47,8,1.6338393226178134,1
A47,16,1.5798322399993228,1
A47,32,1.5581087207337845,1
A48,0.5,1.3486254014163066,1
A48,1,1.7525426556480437,1
A48,2,1.5603410299168068,1
A48,4,1.5637314937184161,1
A48,8,1.608711646819768,1
A48,16,1.7056035679057622,1
A48,32,1.6029101865370141,1
A49,0.5,1.4013670018930673,1
A49,1,1.6112964458499692,1
A49,2,1.5239491211542564,1
A49,4,1.5726995525664134,1
A49,8,1.6541968254926676,1
A49,16,1.557771834258139,1
A49,32,1.4530760801771345,1
A50,0.5,1.3624175130316842,1
A50,1,1.641302171932693,1
A50,2,1.505705633409085,1
A50,4,1.5513365909237218,1
A50,8,1.5803744729784905,1
A50,16,1.5693124226719122,1
A50,32,1.3310462297403716,1
A51,0.5,1.3730196546858697,>32
A51,1,1.8783605901083635,>32
A51,2,1.6941350339037078,>32
A51,4,1.5792072852991828,>32
A51,8,1.5977577753336794,>32
A51,16,2.057255545728394,>32
A51,32,1.8749490057342033,>32
A53,0.5,1.414876193684647,1
A53,1,1.5621739637456753,1
A53,2,1.579274049695289,1
A53,4,1.5969667128807805,1
A53,8,1.6539387814158795,1
A53,16,1.503762779066302,1
A53,32,1.391934989267096,1
A54,0.5,1.3877114950295304,2
A54,1,1.684077303597555,2
A54,2,1.4437721899552567,2
A54,4,1.5231390164793184,2
A54,8,1.6538423220645788,2
A54,16,1.6778570860425936,2
A54,32,1.4991242525013038,2
A55,0.5,1.3104959924162505,1
A55,1,1.5761205070712254,1
A55,2,1.264721988617473,1
A55,4,1.2310115769528558,1
A55,8,1.2774620438619604,1
A55,16,1.4242545388028676,1
A55,32,1.432823071533673,1
A56,0.5,1.342685600418502,>32
A56,1,1.4590722674578802,>32
A56,2,1.4160240718481572,>32
A56,4,1.4213463942144504,>32
A56,8,1.452419364500014,>32
A56,16,1.528418997112816,>32
A56,32,1.5083820187926538,>32
A57,0.5,1.3696073515202836,1
A57,1,1.5487607295404007,1
A57,2,1.4664813150777967,1
A57,4,1.574565584461834,1
A57,8,1.549888810629862,1
A57,16,1.5602530556392904,1
A57,32,1.5166809235588368,1
A58,0.5,1.4428619604591246,1
A58,1,1.525882973931304,1
A58,2,1.4713605198914017,1
A58,4,1.7059747108478782,1
A58,8,1.5872706271621755,1
A58,16,1.617285916648271,1
A58,32,1.689290680255873,1
A59,0.5,1.3092782674427974,1
A59,1,1.3667375263325516,1
A59,2,1.4036648772682445,1
A59,4,1.5522015740055024,1
A59,8,1.5225694431120949,1
A59,16,1.3803502565145485,1
A59,32,1.415472604553181,1
A60,0.5,1.3577616511641062,4
A60,1,1.515506478603381,4
A60,2,1.486779784788561,4
A60,4,1.5831834013751374,4
A60,8,1.5530167730332587,4
A60,16,1.5363135325193782,4
A60,32,1.4159350060572755,4
A62,0.5,1.3069066970636332,1
A62,1,1.5043033025295196,1
A62,2,1.469048912325832,1
A62,4,1.4962591460346304,1
A62,8,1.5913900402350578,1
A62,16,1.6227972251585812,1
A62,32,1.5050027943986404,1
A63,0.5,1.340362346491117,1
A63,1,1.4304783329918203,1
A63,2,1.3159529769192726,1
A63,4,1.280829029424904,1
A63,8,1.451978446306555,1
A63,16,1.5425911350950576,1
A63,32,1.5601885875770847,1
A64,0.5,1.4979366570618027,1
A64,1,1.5659163554880235,1
A64,2,1.508927837538246,1
A64,4,1.548375635960549,1
A64,8,1.5769828180225247,1
A64,16,1.7048870346627785,1
A64,32,1.5477733794960864,1
A65,0.5,1.0323538941484827,>32
A65,1,1.2060347186104339,>32
A65,2,1.1246847434014378,>32
A65,4,0.972325116041507,>32
A65,8,1.2347680056921264,>32
A65,16,1.4417574814207532,>32
A65,32,1.4272993305962072,>32
A66,0.5,1.3847393241024444,>32
A66,1,1.5326421719987562,>32
A66,2,1.4124306709526724,>32
A66,4,1.492140342259871,>32
A66,8,1.5083151943920137,>32
A66,16,1.5774141627005271,>32
A66,32,1.5577455425078415,>32
A67,0.5,1.3192050070980228,1
A67,1,1.4365556422653762,1
A67,2,1.410009538080302,1
A67,4,1.444491382405359,1
A67,8,1.466894047048319,1
A67,16,1.5023590804172675,1
A67,32,1.5511673936676034,1
A68,0.5,1.3071400702625193,>32
A68,1,1.4765636972565146,>32
A68,2,1.472179952236066,>32
A68,4,1.5284380133318203,>32
A68,8,1.6079948674066238,>32
A68,16,1.6036111223861753,>32
A68,32,1.7035442727597299,>32
