Enviro,MIC50,OD,Activity_norm,Strain
6.25,0.390625,1.2412466045337638,0.9683372502780652,yAG43
0.2,0.78125,1.2975615078021079,1,yAG60
0.39,0.78125,1.509634019360953,1.0418556874953468,yAG60
0.78,0.78125,1.591122902908099,1.0537237711023233,yAG60
1.56,0.78125,1.2705384176865762,0.9842763345231137,yAG60
12.5,0.78125,0.923602223470405,0.7164926781590222,yAG60
3.12,0.78125,1.1470042914441467,0.7587133266200424,yAG60
6.25,0.78125,1.070970379504173,0.7374786536590445,yAG60
0.2,0.78125,1.5555499873949343,1,yAG46
0.39,0.78125,1.5492500113777974,1.0889040753264638,yAG46
0.78,0.78125,1.4971320279633025,0.9949793365800689,yAG46
1.56,0.78125,1.1672423747023235,0.665933212208513,yAG46
12.5,0.78125,0.6630295214217082,0.5463942333932359,yAG46
3.12,0.78125,1.0033714076202096,0.5614028150572808,yAG46
6.25,0.78125,0.977097644003287,0.6177751978414062,yAG46
0.2,0.78125,1.429866938394071,1,yAG29
0.39,0.78125,1.2613855764086088,0.9723911325337844,yAG29
0.78,0.78125,1.2008691869235262,0.8828282707816372,yAG29
1.56,0.78125,1.0324656095003841,0.9002272874885476,yAG29
12.5,0.78125,0.7858107623831634,0.8327282072843476,yAG29
3.12,0.78125,0.9616816577890405,0.7126118285237296,yAG29
6.25,0.78125,0.9026431749880407,0.8280567714834418,yAG29
0.2,0.78125,1.4645407293562938,1,yAG58
0.39,0.78125,1.5629342966372382,1.0787029000439712,yAG58
0.78,0.78125,1.4104522200697518,1.0885225744035836,yAG58
1.56,0.78125,1.1520992241623293,0.9373711719891332,yAG58
12.5,0.78125,0.7989166325160991,0.7729783522431146,yAG58
3.12,0.78125,1.1439230541538985,0.9359411748716716,yAG58
6.25,0.78125,1.0692892971538641,0.815191959283487,yAG58
0.2,0.78125,1.1896479500479757,1,HSC02
0.39,0.78125,1.2716812888938511,1.0630058148208315,HSC02
0.78,0.78125,1.2086872063417176,1.114431917581126,HSC02
1.56,0.78125,0.9429603021432595,1.0526744458054658,HSC02
12.5,0.78125,0.5003563564504715,1.0365837479295321,HSC02
3.12,0.78125,0.668183874891603,0.8343729607176933,HSC02
6.25,0.78125,0.6399775692712448,0.8803297725949765,HSC02
0.2,0.78125,1.2737158228236551,1,HSC07
0.39,0.78125,1.4521845809144671,1.068498428736422,HSC07
0.78,0.78125,1.5379127945408226,1.1425444196448087,HSC07
1.56,0.78125,1.1952962357046155,0.8901319348377231,HSC07
12.5,0.78125,0.8157414834395412,0.5566477679325168,HSC07
3.12,0.78125,0.9714942402238301,0.609305261723998,HSC07
6.25,0.78125,0.8682845821137591,0.564222554333016,HSC07
0.2,0.78125,1.3932529770374427,1,HSC08
0.39,0.78125,1.541988777356763,1.0343132399083699,HSC08
0.78,0.78125,1.3392645580012266,1.0747873305695013,HSC08
1.56,0.78125,1.2835173094496666,0.978100891186883,HSC08
12.5,0.78125,0.7476096032091537,0.6055685321654863,HSC08
3.12,0.78125,1.0664930414258973,0.7895625145684364,HSC08
6.25,0.78125,1.0329223389373718,0.6446187056618886,HSC08
0.2,0.78125,1.2554053109117107,1,HSC012
0.39,0.78125,1.4273775852414596,1.0882101728207527,HSC012
0.78,0.78125,1.1990576047104347,1.0218729959883168,HSC012
1.56,0.78125,1.1517286148231796,0.9209125620995796,HSC012
12.5,0.78125,0.7185218995685,0.5995892912441168,HSC012
3.12,0.78125,1.1016246353008412,0.8393139585128672,HSC012
6.25,0.78125,0.9550897659593564,0.6521246763413284,HSC012
0.2,0.78125,1.5157828367093087,1,HSC014
0.39,0.78125,1.6158894263924193,1.0776377818187495,HSC014
0.78,0.78125,1.3898709927967747,1.1231625556000013,HSC014
1.56,0.78125,1.1970434551582858,0.9436780748254464,HSC014
12.5,0.78125,0.7531040987769198,0.5904302897950342,HSC014
3.12,0.78125,1.0410551425231818,0.5864499958411322,HSC014
6.25,0.78125,1.0770935148091014,0.5593280841498544,HSC014
0.2,0.78125,1.4337534757351116,1,HSC015
0.39,0.78125,1.4170899811033142,0.9688610767826844,HSC015
0.78,0.78125,1.2771826202343612,1.1628321209345416,HSC015
1.56,0.78125,1.061382115497816,0.9836542444512814,HSC015
12.5,0.78125,0.6433923763922826,0.6631901811211854,HSC015
3.12,0.78125,1.0287975591633605,0.8211584939776184,HSC015
6.25,0.78125,0.9328587262090019,0.5987873550930825,HSC015
0.2,0.78125,1.5718957835210328,1,HSC020
0.39,0.78125,1.5963006722463613,1.0669873763534903,HSC020
0.78,0.78125,1.4356100468944022,1.1545171122925746,HSC020
1.56,0.78125,1.1749899389016938,0.8474690634902787,HSC020
12.5,0.78125,0.8878558777259119,0.687755343034177,HSC020
3.12,0.78125,1.041214993296188,0.6028028608781337,HSC020
6.25,0.78125,1.0653185870989816,0.5434011553650974,HSC020
0.2,0.78125,1.466495626728034,1,HSC028
0.39,0.78125,1.5240526174810822,0.9958567922004194,HSC028
0.78,0.78125,1.51190562065958,1.1075533609485395,HSC028
1.56,0.78125,1.2062532820348035,0.9690426564772194,HSC028
12.5,0.78125,0.9561098940013104,0.7716343941111251,HSC028
3.12,0.78125,1.070658898911058,0.8060940598017167,HSC028
6.25,0.78125,0.989443513185898,0.733240571764145,HSC028
0.2,0.78125,1.6107073902063647,1,HSC029
0.39,0.78125,1.3408164095981425,0.8836361891255995,HSC029
0.78,0.78125,1.498225286293146,0.998949066193714,HSC029
1.56,0.78125,1.0288065795069972,0.8711825252443667,HSC029
12.5,0.78125,0.7196046727147132,0.5403476122704408,HSC029
3.12,0.78125,0.8049985753918557,0.6282785424179618,HSC029
6.25,0.78125,0.7798924376608584,0.5953881371547525,HSC029
0.2,0.78125,1.635158301671534,1,HSC030
0.39,0.78125,1.5993997395282615,0.9563526805780637,HSC030
0.78,0.78125,1.5203464021448545,0.9839223622115275,HSC030
1.56,0.78125,1.1302320241817962,0.750907009875087,HSC030
