Strain,Enviro,Activity_norm,MIC50
A40,12.5,0.7978230254901961,0.78125
A41,0.2,1,0.78125
A41,0.39,1.0427128095419842,0.78125
A41,0.78,0.9950278394581781,0.78125
A41,1.56,0.7337736557842017,0.78125
A41,3.12,0.7043738249935423,0.78125
A41,6.25,0.7280693061447936,0.78125
A41,12.5,0.7273547191448125,0.78125
A42,0.2,1,0.78125
A42,0.39,1.079534901642434,0.78125
A42,0.78,1.0613873434348926,0.78125
A42,1.56,0.7720153468199019,0.78125
A42,3.12,0.7461080412205385,0.78125
A42,6.25,0.9099585807201502,0.78125
A42,12.5,0.9038340352400345,0.78125
A43,0.2,1,0.78125
A43,0.39,0.9728102067783195,0.78125
A43,0.78,0.9428151187475741,0.78125
A43,1.56,0.7476520366172866,0.78125
A43,3.12,0.7117464343982477,0.78125
A43,6.25,0.7229699308360037,0.78125
A43,12.5,0.8444074617327587,0.78125
A44,0.2,1,0.78125
A44,0.39,1.0296947529147766,0.78125
A44,0.78,1.052039746769855,0.78125
A44,1.56,0.9643300516573403,0.78125
A44,3.12,0.9605474069765771,0.78125
A44,6.25,0.8851744491862009,0.78125
A44,12.5,0.8693440507603953,0.78125
A45,0.2,1,0.78125
A45,0.39,1.0002581658866352,0.78125
A45,0.78,0.890356246634692,0.78125
A45,1.56,0.7022060379934026,0.78125
A45,3.12,0.6838164443286908,0.78125
A45,6.25,0.8080856990352556,0.78125
A45,12.5,0.9903034603894386,0.78125
A46,0.2,1,0.78125
A46,0.39,0.9925590639006293,0.78125
A46,0.78,0.9111789866599317,0.78125
A46,1.56,0.761279270702185,0.78125
A46,3.12,0.69955885830848,0.78125
A46,6.25,0.5759299251727857,0.78125
A46,12.5,0.6798389696968424,0.78125
A47,0.2,1,0.78125
A47,0.39,0.9933050457183671,0.78125
A47,0.78,0.8898441801422872,0.78125
A47,1.56,0.89524967725637,0.78125
A47,3.12,0.8461412787729101,0.78125
A47,6.25,0.6838674246742781,0.78125
A47,12.5,0.6820211099046266,0.78125
A48,0.2,1,0.78125
A48,0.39,1.0171837841553322,0.78125
A48,0.78,0.9340100113889872,0.78125
A48,1.56,0.8802051644832266,0.78125
A48,3.12,0.7161440381867817,0.78125
A48,6.25,0.4837965011415771,0.78125
A48,12.5,0.5723700472038947,0.78125
A49,0.2,1,0.390625
A49,0.39,0.8869451752558867,0.390625
A49,0.78,0.8307185206469169,0.390625
A49,1.56,0.7813794366269908,0.390625
A49,3.12,0.8783906785607972,0.390625
A49,6.25,0.8582928714124134,0.390625
A49,12.5,0.7974642355898387,0.390625
A50,0.2,1,0.390625
A50,0.39,0.863086905784748,0.390625
A50,0.78,0.9086416415228906,0.390625
A50,1.56,0.8548432009629318,0.390625
A50,3.12,0.8658704552184994,0.390625
A50,6.25,0.5968512218438599,0.390625
