Strain,enviro.x,OD.x,enviro.y,OD.y,MIC50
A14,4,1.571608805853618,4,1.571608805853618,1
A14,4,1.571608805853618,8,1.604288052055641,1
A14,4,1.571608805853618,16,1.638700945271034,1
A14,4,1.571608805853618,32,1.5319082892474465,1
A14,8,1.604288052055641,0.5,1.4433189268642435,1
A14,8,1.604288052055641,1,1.548724665277135,1
A14,8,1.604288052055641,2,1.6442486157138179,1
A14,8,1.604288052055641,4,1.571608805853618,1
A14,8,1.604288052055641,8,1.604288052055641,1
A14,8,1.604288052055641,16,1.638700945271034,1
A14,8,1.604288052055641,32,1.5319082892474465,1
A14,16,1.638700945271034,0.5,1.4433189268642435,1
A14,16,1.638700945271034,1,1.548724665277135,1
A14,16,1.638700945271034,2,1.6442486157138179,1
A14,16,1.638700945271034,4,1.571608805853618,1
A14,16,1.638700945271034,8,1.604288052055641,1
A14,16,1.638700945271034,16,1.638700945271034,1
A14,16,1.638700945271034,32,1.5319082892474465,1
A14,32,1.5319082892474465,0.5,1.4433189268642435,1
A14,32,1.5319082892474465,1,1.548724665277135,1
A14,32,1.5319082892474465,2,1.6442486157138179,1
A14,32,1.5319082892474465,4,1.571608805853618,1
A14,32,1.5319082892474465,8,1.604288052055641,1
A14,32,1.5319082892474465,16,1.638700945271034,1
A14,32,1.5319082892474465,32,1.5319082892474465,1
A15,0.5,1.4459357507934694,0.5,1.4459357507934694,1
A15,0.5,1.4459357507934694,1,1.6186922312865286,1
A15,0.5,1.4459357507934694,2,1.6596174055968802,1
A15,0.5,1.4459357507934694,4,1.6314051577744249,1
