Strain,Enviro,MIC50,Mass,Mass_norm,Activity,Activity_norm,PreMass
yAG46,0.39,0.8,0.7214841836734693,0.25615782312925167,2.7375301020408163,0.22629999999999986,0.46532636054421767
yAG46,0.78,0.8,0.6972175170068027,0.231891156462585,2.5039301020408167,-0.0073000000000000105,0.46532636054421767
yAG46,1.56,0.8,0.5436175170068027,0.07829115646258505,1.6772301020408162,-0.8340000000000002,0.46532636054421767
yAG46,12.5,0.8,0.30885085034013604,-0.15647551020408162,1.374796768707483,-1.1364333333333336,0.46532636054421767
yAG46,3.12,0.8,0.46731751700680274,0.0019911564625850753,1.421296768707483,-1.0899333333333336,0.46532636054421767
yAG46,6.25,0.8,0.45508418367346937,-0.010242176870748299,1.5633301020408161,-0.9479000000000003,0.46532636054421767
yAG29,0,0.8,0.6128841836734694,0.18463401360544224,1.532296768707483,0,0.4282501700680272
yAG29,0.39,0.8,0.5406841836734694,0.1124340136054422,1.4871634353741496,-0.04513333333333339,0.4282501700680272
yAG29,0.78,0.8,0.5147508503401361,0.08650068027210894,1.3458301020408163,-0.1864666666666667,0.4282501700680272
yAG29,1.56,0.8,0.4425841836734694,0.01433401360544223,1.3777301020408164,-0.15456666666666674,0.4282501700680272
yAG29,12.5,0.8,0.3368841836734694,-0.09136598639455779,1.2706967687074828,-0.2616000000000001,0.4282501700680272
yAG29,3.12,0.8,0.41225085034013603,-0.015999319727891148,1.0863301020408163,-0.4459666666666668,0.4282501700680272
yAG29,6.25,0.8,0.3869508503401361,-0.04129931972789108,1.260996768707483,-0.2713000000000001,0.4282501700680272
yAG58,0,0.8,0.6987175170068027,0.22200544217687074,1.178996768707483,0,0.476712074829932
yAG58,0.39,0.8,0.7456508503401361,0.2689387755102041,1.2693634353741496,0.0903666666666667,0.476712074829932
yAG58,0.78,0.8,0.6729175170068027,0.1962054421768707,1.2795634353741496,0.10056666666666662,0.476712074829932
yAG58,1.56,0.8,0.5496841836734694,0.07297210884353739,1.1022634353741496,-0.07673333333333325,0.476712074829932
yAG58,12.5,0.8,0.38121751700680273,-0.09549455782312927,0.907896768707483,-0.27109999999999995,0.476712074829932
yAG58,3.12,0.8,0.5457841836734694,0.06907210884353737,1.1011967687074828,-0.07780000000000002,0.476712074829932
yAG58,6.25,0.8,0.5101841836734694,0.03347210884353741,0.9596634353741496,-0.21933333333333335,0.476712074829932
HSC002,0,0.8,0.33755085034013604,0.054210204081632685,0.7058301020408163,0,0.28334064625850336
HSC002,0.39,0.8,0.36081751700680276,0.0774768707482994,0.7507301020408164,0.044900000000000016,0.28334064625850336
HSC002,0.78,0.8,0.34295085034013606,0.0596102040816327,0.7853634353741497,0.0795333333333333,0.28334064625850336
HSC002,1.56,0.8,0.2675841836734694,-0.015756462585033937,0.7375967687074829,0.031766666666666644,0.28334064625850336
HSC002,12.5,0.8,0.14205085034013604,-0.14128979591836732,0.737096768707483,0.031266666666666665,0.28334064625850336
HSC002,3.12,0.8,0.18965085034013604,-0.09368979591836732,0.6078634353741497,-0.09796666666666669,0.28334064625850336
HSC002,6.25,0.8,0.18165085034013603,-0.10168979591836733,0.6347967687074829,-0.07103333333333335,0.28334064625850336
HSC007,0,0.8,0.43001751700680274,0.09280068027210886,2.066296768707483,0,0.3372168367346939
HSC007,0.39,0.8,0.49025085034013605,0.15303401360544217,2.206796768707483,0.1405000000000002,0.3372168367346939
HSC007,0.78,0.8,0.5191841836734694,0.18196734693877553,2.35086343537415,0.28456666666666686,0.3372168367346939
HSC007,1.56,0.8,0.40355085034013605,0.06633401360544217,1.8299634353741496,-0.23633333333333328,0.3372168367346939
HSC007,12.5,0.8,0.27545085034013606,-0.061765986394557826,1.140296768707483,-0.926,0.3372168367346939
HSC007,3.12,0.8,0.3280175170068027,-0.009199319727891175,1.2499967687074829,-0.8163000000000001,0.3372168367346939
HSC007,6.25,0.8,0.2931841836734694,-0.0440326530612245,1.154596768707483,-0.9117000000000001,0.3372168367346939
HSC008,0,0.8,0.607450850340136,0.17183877551020404,1.804396768707483,0,0.43561207482993197
HSC008,0.39,0.8,0.6722841836734694,0.23667210884353745,1.8692301020408164,0.06483333333333345,0.43561207482993197
HSC008,0.78,0.8,0.5839175170068027,0.14830544217687075,1.943296768707483,0.13890000000000002,0.43561207482993197
HSC008,1.56,0.8,0.5596175170068027,0.12400544217687076,1.768896768707483,-0.03550000000000001,0.43561207482993197
HSC008,12.5,0.8,0.3260175170068027,-0.10959455782312927,1.095996768707483,-0.7083999999999999,0.43561207482993197
HSC008,3.12,0.8,0.46501751700680277,0.0294054421768708,1.4288634353741496,-0.37553333333333333,0.43561207482993197
HSC008,6.25,0.8,0.4503841836734694,0.014772108843537413,1.1833634353741496,-0.6210333333333333,0.43561207482993197
HSC012,0,0.8,0.5430175170068028,0.11086734693877559,1.297696768707483,0,0.4321501700680272
HSC012,0.39,0.8,0.6173841836734694,0.18523401360544217,1.4101634353741497,0.11246666666666665,0.4321501700680272
HSC012,0.78,0.8,0.518650850340136,0.08650068027210883,1.323796768707483,0.026100000000000085,0.4321501700680272
HSC012,1.56,0.8,0.4981841836734694,0.0660340136054422,1.1940634353741497,-0.10363333333333331,0.4321501700680272
HSC012,12.5,0.8,0.31085085034013604,-0.12129931972789115,0.779696768707483,-0.518,0.4321501700680272
HSC012,3.12,0.8,0.4765175170068027,0.04436734693877553,1.087296768707483,-0.2104,0.4321501700680272
HSC012,6.25,0.8,0.41315085034013604,-0.01899931972789115,0.8461301020408163,-0.45156666666666667,0.4321501700680272
HSC014,0,0.8,0.567950850340136,0.1936340136054422,1.5811634353741497,0,0.37431683673469385
HSC014,0.39,0.8,0.6054508503401361,0.23113401360544228,1.707996768707483,0.12683333333333335,0.37431683673469385
HSC014,0.78,0.8,0.5207841836734695,0.1464673469387756,1.7780634353741498,0.19690000000000007,0.37431683673469385
HSC014,1.56,0.8,0.44855085034013603,0.07423401360544218,1.4959634353741496,-0.08520000000000001,0.37431683673469385
HSC014,12.5,0.8,0.28225085034013603,-0.09206598639455782,0.942696768707483,-0.6384666666666666,0.37431683673469385
HSC014,3.12,0.8,0.39011751700680275,0.015800680272108902,0.935196768707483,-0.6459666666666667,0.37431683673469385
HSC014,6.25,0.8,0.40361751700680276,0.029300680272108914,0.8963634353741496,-0.6848,0.37431683673469385
HSC015,0,0.8,0.5794841836734694,0.1756911564625851,2.0114301020408165,0,0.40379302721088434
HSC015,0.39,0.8,0.5727508503401361,0.16895782312925173,1.9523301020408164,-0.0591000000000003,0.40379302721088434
HSC015,0.78,0.8,0.5162175170068027,0.1124244897959184,2.3408967687074833,0.3294666666666666,0.40379302721088434
HSC015,1.56,0.8,0.42901751700680274,0.025224489795918403,1.9767301020408163,-0.034700000000000175,0.40379302721088434
HSC015,12.5,0.8,0.26011751700680275,-0.1436755102040816,1.3453634353741497,-0.6660666666666669,0.40379302721088434
HSC015,3.12,0.8,0.4158508503401361,0.012057823129251743,1.6588301020408163,-0.35260000000000025,0.40379302721088434
HSC015,6.25,0.8,0.3770841836734694,-0.026708843537414928,1.219496768707483,-0.7919333333333337,0.40379302721088434
HSC020,0,0.8,0.5218508503401361,0.19023401360544223,1.427696768707483,0,0.3316168367346939
HSC020,0.39,0.8,0.529950850340136,0.19833401360544212,1.5230634353741497,0.0953666666666666,0.3316168367346939
HSC020,0.78,0.8,0.4766175170068027,0.14500068027210883,1.6439301020408164,0.21623333333333328,0.3316168367346939
HSC020,1.56,0.8,0.39011751700680275,0.05850068027210886,1.2073634353741496,-0.22033333333333335,0.3316168367346939
HSC020,12.5,0.8,0.29481751700680275,-0.03679931972789113,0.9895634353741496,-0.43813333333333343,0.3316168367346939
HSC020,3.12,0.8,0.34571751700680275,0.014100680272108868,0.8650634353741496,-0.5626333333333333,0.3316168367346939
HSC020,6.25,0.8,0.35371751700680276,0.022100680272108875,0.7834301020408163,-0.6442666666666667,0.3316168367346939
HSC028,0,0.8,0.6923175170068028,0.22060544217687078,1.350296768707483,0,0.471712074829932
HSC028,0.39,0.8,0.7194841836734694,0.24777210884353745,1.3436301020408163,-0.006666666666666599,0.471712074829932
HSC028,0.78,0.8,0.7137508503401361,0.24203877551020408,1.4932634353741496,0.1429666666666667,0.471712074829932
HSC028,1.56,0.8,0.5694841836734694,0.09777210884353743,1.3095301020408163,-0.04076666666666662,0.471712074829932
HSC028,12.5,0.8,0.4514175170068027,-0.020294557823129278,1.044696768707483,-0.3055999999999999,0.471712074829932
HSC028,3.12,0.8,0.5054841836734694,0.033772108843537374,1.1022634353741496,-0.24803333333333333,0.471712074829932
HSC028,6.25,0.8,0.46715085034013604,-0.004561224489795956,1.000996768707483,-0.34929999999999994,0.471712074829932
HSC029,0,0.8,0.6502508503401361,0.24691496598639462,1.1436301020408164,0,0.40333588435374146
HSC029,0.39,0.8,0.5413175170068028,0.1379816326530613,0.9971967687074829,-0.14643333333333342,0.40333588435374146
HSC029,0.78,0.8,0.6048508503401361,0.20151496598639462,1.1148634353741498,-0.028766666666666607,0.40333588435374146
HSC029,1.56,0.8,0.4153841836734694,0.012048299319727951,0.964896768707483,-0.17873333333333333,0.40333588435374146
HSC029,12.5,0.8,0.2905841836734694,-0.11275170068027207,0.602796768707483,-0.5408333333333333,0.40333588435374146
HSC029,3.12,0.8,0.3250508503401361,-0.07828503401360537,0.7099634353741496,-0.4336666666666667,0.40333588435374146
HSC029,6.25,0.8,0.3149175170068027,-0.08841836734693875,0.6720634353741497,-0.47156666666666663,0.40333588435374146
HSC030,0,0.8,0.7089175170068027,0.2757387755102041,1.9958967687074831,0,0.43317874149659863
HSC030,0.39,0.8,0.6934175170068028,0.26023877551020413,1.908596768707483,-0.08730000000000009,0.43317874149659863
HSC030,0.78,0.8,0.6591508503401361,0.22597210884353747,1.9716301020408165,-0.02426666666666666,0.43317874149659863
HSC030,1.56,0.8,0.49005085034013607,0.05687210884353744,1.5011634353741496,-0.49473333333333347,0.43317874149659863
HSC030,12.5,0.8,0.3181841836734694,-0.11499455782312923,1.0641634353741496,-0.9317333333333334,0.43317874149659863
HSC030,3.12,0.8,0.43695085034013603,0.003772108843537403,1.2709634353741497,-0.7249333333333335,0.43317874149659863
HSC030,6.25,0.8,0.3952841836734694,-0.03789455782312923,1.1547301020408163,-0.8411666666666667,0.43317874149659863
HSC034,0,0.8,0.5733508503401361,0.22092448979591844,1.8410634353741497,0,0.35242636054421767
HSC034,0.39,0.8,0.5347175170068027,0.18229115646258504,1.7575301020408165,-0.08353333333333324,0.35242636054421767
HSC034,0.78,0.8,0.5392841836734694,0.18685782312925175,1.7579301020408165,-0.08313333333333328,0.35242636054421767
HSC034,1.56,0.8,0.36731751700680276,0.014891156462585098,1.4417301020408164,-0.3993333333333333,0.35242636054421767
HSC034,12.5,0.8,0.19718418367346938,-0.1552421768707483,0.9727967687074829,-0.8682666666666667,0.35242636054421767
HSC034,3.12,0.8,0.3379175170068027,-0.01450884353741494,1.0157301020408163,-0.8253333333333334,0.35242636054421767
HSC034,6.25,0.8,0.29481751700680275,-0.05760884353741491,0.9693634353741496,-0.8717,0.35242636054421767
HSC038,0,0.8,0.7212841836734694,0.23096258503401357,1.3890301020408162,0,0.4903215986394558
HSC038,0.39,0.8,0.7478508503401361,0.2575292517006803,1.3684634353741496,-0.020566666666666695,0.4903215986394558
HSC038,0.78,0.8,0.7521175170068027,0.26179591836734695,1.5513301020408163,0.16230000000000003,0.4903215986394558
HSC038,1.56,0.8,0.6049175170068027,0.11459591836734695,1.3503634353741496,-0.03866666666666663,0.4903215986394558
HSC038,12.5,0.8,0.3346175170068027,-0.1557040816326531,0.8586301020408164,-0.5304,0.4903215986394558
HSC038,3.12,0.8,0.4670175170068028,-0.023304081632653018,1.0195301020408163,-0.3695,0.4903215986394558
HSC038,6.25,0.8,0.49841751700680276,0.008095918367346966,1.0247301020408162,-0.3643,0.4903215986394558
HSC041,0,0.4,0.5755508503401361,0.1779292517006803,1.708296768707483,0,0.3976215986394558
HSC041,0.39,0.4,0.5935508503401361,0.19592925170068032,1.679596768707483,-0.02870000000000002,0.3976215986394558
HSC041,0.78,0.4,0.5288175170068028,0.131195918367347,1.7153301020408163,0.007033333333333299,0.3976215986394558
HSC041,1.56,0.4,0.46611751700680276,0.06849591836734698,1.5449301020408164,-0.16336666666666674,0.3976215986394558
HSC041,12.5,0.4,0.2894841836734694,-0.10813741496598639,1.0425301020408164,-0.6657666666666667,0.3976215986394558
HSC041,3.12,0.4,0.41615085034013605,0.01852925170068026,1.2428301020408163,-0.4654666666666667,0.3976215986394558
HSC041,6.25,0.4,0.3849841836734694,-0.01263741496598636,1.0665301020408162,-0.6417666666666667,0.3976215986394558
HSC042,0,0.8,0.7043841836734694,0.2637102040816327,2.3247967687074835,0,0.44067397959183674
HSC042,0.39,0.8,0.6728175170068027,0.23214353741496596,2.2768301020408166,-0.04796666666666679,0.44067397959183674
HSC042,0.78,0.8,0.6635841836734694,0.22291020408163265,2.383296768707483,0.05849999999999985,0.44067397959183674
HSC042,1.56,0.8,0.5680175170068027,0.12734353741496596,1.7691634353741497,-0.5556333333333335,0.44067397959183674
