Strain,Enviro,MIC50,Mass,Mass_norm,Activity,Activity_norm
HSC007,16, ≤ 2,0.5100219387755102,0.19070459183673466,2.022723299319728,-0.29006666666666675
HSC007,2, ≤ 2,0.5564552721088436,0.2371379251700681,2.2789566326530615,-0.033833333333333236
HSC007,32, ≤ 2,0.4617552721088435,0.14243792517006798,1.933523299319728,-0.3792666666666668
HSC007,4, ≤ 2,0.46325527210884354,0.14393792517006804,2.038623299319728,-0.27416666666666684
HSC007,8, ≤ 2,0.5670552721088435,0.24773792517006804,2.2551566326530614,-0.05763333333333328
HSC008,0, ≤ 2,0.6198552721088435,0.16417602040816326,1.915723299319728,0
HSC008,1, ≤ 2,0.6838219387755101,0.22814268707482988,1.8540566326530612,-0.06166666666666668
HSC008,16, ≤ 2,0.6606886054421768,0.20500935374149654,1.7110566326530612,-0.20466666666666686
HSC008,2, ≤ 2,0.7406886054421769,0.2850093537414966,1.857123299319728,-0.058599999999999985
HSC008,32, ≤ 2,0.6139552721088435,0.15827602040816324,1.6269899659863944,-0.28873333333333345
HSC008,4, ≤ 2,0.7517219387755102,0.29604268707482995,1.7554232993197278,-0.1603000000000001
HSC008,8, ≤ 2,0.7432886054421768,0.28760935374149654,1.7996566326530612,-0.11606666666666683
HSC012,0, ≤ 2,0.6051219387755102,0.1463617346938776,1.3838566326530612,0
HSC012,1, ≤ 2,0.6041886054421769,0.14542840136054425,1.4253899659863944,0.041533333333333276
HSC012,16, ≤ 2,0.6169552721088435,0.15819506802721084,1.2948899659863944,-0.08896666666666671
HSC012,2, ≤ 2,0.6472219387755102,0.1884617346938775,1.3995899659863944,0.015733333333333304
HSC012,32, ≤ 2,0.6428886054421769,0.1841284013605442,1.3319899659863945,-0.05186666666666665
HSC012,4, ≤ 2,0.6779219387755101,0.21916173469387745,1.3276566326530612,-0.05620000000000003
HSC012,8, ≤ 2,0.7016886054421768,0.24292840136054417,1.4320232993197277,0.048166666666666615
HSC014,0, ≤ 2,0.5646552721088436,0.19413792517006806,1.6222899659863945,0
HSC014,1, ≤ 2,0.5763886054421768,0.20587125850340132,1.553323299319728,-0.06896666666666669
