Strain,Drug,Species,Type,RAD50,FoG50
HSC082,FLC,C.albicans,HSc,17,0.333333333
HSC083,BA,C.albicans,HSc,13,0.151666667
HSC083,FLC,C.albicans,HSc,17.16666667,0.425
HSC084,BA,C.parapsilosis,HSc,11.5,0.12
HSC084,FLC,C.parapsilosis,HSc,19,0.0775
HSC085,BA,C.parapsilosis,HSc,10.25,0.285
HSC085,FLC,C.parapsilosis,HSc,9,0.1075
HSC086,BA,C.glabrata,HSc,10.66666667,0.323333333
HSC086,FLC,C.glabrata,HSc,6.833333333,0.47
HSC087,BA,C.tropicalis,HSc,9.5,0.265
HSC087,FLC,C.tropicalis,HSc,20,0.4275
HSC088,BA,C.parapsilosis,HSc,12.25,0.1975
HSC088,FLC,C.parapsilosis,HSc,22.75,0.1125
HSC089,BA,C.parapsilosis,HSc,2.5,0.505
HSC089,FLC,C.parapsilosis,HSc,22.25,0.2275
HSC090,BA,C.albicans,HSc,13.33333333,0.161666667
HSC090,FLC,C.albicans,HSc,19.5,0.25
HSC091,BA,C.parapsilosis,HSc,13.5,0.1075
HSC091,FLC,C.parapsilosis,HSc,15.25,0.1975
HSC094,BA,C.albicans,HSc,12.66666667,0.16
HSC094,FLC,C.albicans,HSc,18.16666667,0.406666667
HSC096,BA,C.glabrata,HSc,9.166666667,0.428333333
HSC096,FLC,C.glabrata,HSc,12.83333333,0.256666667
HSC097,BA,C.albicans,HSc,14.66666667,0.105
HSC097,FLC,C.albicans,HSc,21,0.301666667
HSC098,BA,C.albicans,HSc,12,0.1175
HSC098,FLC,C.albicans,HSc,9.5,0.89
HSC099,BA,C.albicans,HSc,15,0.098333333
HSC099,FLC,C.albicans,HSc,18,0.416666667
HSC100,BA,C.albicans,HSc,12,0.126666667
HSC100,FLC,C.albicans,HSc,17,0.475
HSC101,BA,C.glabrata,HSc,9.833333333,0.328333333
HSC101,FLC,C.glabrata,HSc,11.16666667,0.24
HSC103,BA,C.glabrata,HSc,9.666666667,0.38
HSC103,FLC,C.glabrata,HSc,12.66666667,0.351666667
HSC105,BA,C.albicans,HSc,12.33333333,0.111666667
HSC105,FLC,C.albicans,HSc,9.5,
HSC107,BA,C.glabrata,HSc,10.33333333,0.33
HSC107,FLC,C.glabrata,HSc,13.5,0.283333333
HSC109,BA,C.tropicalis,HSc,8.5,0.43
HSC109,FLC,C.tropicalis,HSc,16.5,0.6675
HSC110,BA,C.glabrata,HSc,10.5,0.255
HSC110,FLC,C.glabrata,HSc,10.16666667,0.395
HSC111,BA,C.albicans,HSc,12.83333333,0.113333333
HSC111,FLC,C.albicans,HSc,18.33333333,0.446666667
HSC112,BA,C.albicans,HSc,11,0.106666667
HSC112,FLC,C.albicans,HSc,17,0.558333333
HSC113,BA,C.albicans,HSc,14,0.351666667
HSC113,FLC,C.albicans,HSc,12.33333333,0.215
HSC114,BA,C.glabrata,HSc,10.83333333,0.288333333
HSC114,FLC,C.glabrata,HSc,8.666666667,0.33
HSC116,BA,C.albicans,HSc,15.33333333,0.13
HSC116,FLC,C.albicans,HSc,14.33333333,0.171666667
