Strain,Drug,Species,RAD20,FoG20,RAD50,FoG50
HSC121,FLC,C.glabrata,14.5,0.275,12.333333333333334,0.2633333333333333
HSC122,BA,C.albicans,15.833333333333334,0.24666666666666667,12.666666666666666,0.17666666666666667
HSC122,FLC,C.albicans,20.666666666666668,0.23833333333333334,17.5,0.21833333333333335
HSC123,BA,C.albicans,13,0.12833333333333333,11.833333333333334,0.08833333333333333
HSC123,FLC,C.albicans,21.666666666666668,0.38000000000000006,17.833333333333332,0.47333333333333333
HSC124,BA,C.albicans,14.5,0.14500000000000002,13.5,0.13
HSC124,FLC,C.albicans,19.166666666666668,0.315,16.833333333333332,0.3783333333333333
HSC125,BA,C.albicans,13,0.14,12,0.105
HSC125,FLC,C.albicans,20.166666666666668,0.53,16,0.725
HSC126,BA,C.albicans,13.166666666666666,0.13666666666666666,11.833333333333334,0.09333333333333334
HSC126,FLC,C.albicans,22,0.2816666666666667,18.833333333333332,0.30500000000000005
HSC127,BA,C.albicans,14,0.12666666666666668,13,0.095
HSC127,FLC,C.albicans,20.166666666666668,0.34833333333333333,17.833333333333332,0.415
HSC128,BA,C.albicans,13,0.14333333333333334,11.666666666666666,0.105
HSC128,FLC,C.albicans,19,0.44,16.166666666666668,0.6233333333333333
HSC129,BA,C.albicans,14.833333333333334,0.20833333333333334,12.666666666666666,0.17833333333333334
HSC129,FLC,C.albicans,21.166666666666668,0.17500000000000002,19.166666666666668,0.15666666666666668
HSC130,BA,C.glabrata,11.333333333333334,0.4683333333333333,8.166666666666666,0.49666666666666665
HSC130,FLC,C.glabrata,9.833333333333334,NA,4,NA
HSC131,BA,C.albicans,22.75,0.2575,20.5,0.2675
HSC131,FLC,C.albicans,13.5,NA,12.75,NA
HSC132,BA,C.glabrata,13.5,0.3383333333333334,10.5,0.33
HSC132,FLC,C.glabrata,17.833333333333332,0.18166666666666667,16.166666666666668,0.17833333333333334
HSC133,BA,C.parapsilosis,21,0.18166666666666667,19.166666666666668,0.165
HSC133,FLC,C.parapsilosis,24.5,0.12666666666666668,22.833333333333332,0.10666666666666667
HSC134,BA,C.albicans,14,0.14833333333333334,12.333333333333334,0.1
HSC134,FLC,C.albicans,20.666666666666668,0.30333333333333334,18.666666666666668,0.35833333333333334
HSC138,BA,C.albicans,12.166666666666666,0.17333333333333334,10.666666666666666,0.12166666666666666
HSC138,FLC,C.albicans,20.833333333333332,0.5616666666666666,14.333333333333334,0.7516666666666666
HSC140,BA,C.glabrata,11.25,0.3325,8.5,0.2925
HSC140,FLC,C.glabrata,13,0.29000000000000004,10.75,0.2875
HSC142,BA,C.glabrata,12.5,0.37333333333333335,8.833333333333334,0.3066666666666667
HSC142,FLC,C.glabrata,12,0.63,5,0.5016666666666667
HSC143,BA,C.glabrata,12,0.36833333333333335,9,0.3383333333333333
HSC143,FLC,C.glabrata,12.166666666666666,0.6033333333333333,5,0.5383333333333333
HSC144,BA,C.parapsilosis,12.833333333333334,0.13833333333333334,11.666666666666666,0.09833333333333334
HSC144,FLC,C.parapsilosis,24.5,0.11833333333333333,22.5,0.10166666666666667
HSC145,BA,C.glabrata,13.833333333333334,0.32,10.5,0.275
HSC145,FLC,C.glabrata,14.666666666666666,0.21166666666666667,12.833333333333334,0.21333333333333335
HSC146,BA,C.glabrata,12.333333333333334,0.375,9.166666666666666,0.3333333333333333
HSC146,FLC,C.glabrata,14.666666666666666,0.22666666666666666,12.833333333333334,0.21000000000000002
HSC147,BA,C.albicans,11.666666666666666,0.16833333333333333,10.333333333333334,0.1366666666666667
HSC147,FLC,C.albicans,21.166666666666668,0.4683333333333333,17.666666666666668,0.625
HSC148,BA,C.glabrata,12.833333333333334,0.36333333333333334,10,0.3616666666666667
HSC148,FLC,C.glabrata,15.666666666666666,0.21833333333333332,14.166666666666666,0.21833333333333332
HSC149,BA,C.albicans,15,0.155,13.5,0.12333333333333334
HSC149,FLC,C.albicans,21.5,0.405,18.166666666666668,0.52
HSC150,BA,C.glabrata,13.833333333333334,0.375,9.833333333333334,0.31666666666666665
HSC150,FLC,C.glabrata,17.333333333333332,0.135,15.833333333333334,0.09333333333333334
HSC152,BA,C.glabrata,16.333333333333332,0.30833333333333335,12.666666666666666,0.26
HSC152,FLC,C.glabrata,15.5,0.23,13.5,0.22166666666666665
HSC154,BA,C.glabrata,12.5,0.375,8.666666666666666,0.305
HSC154,FLC,C.glabrata,12,0.3416666666666667,10.333333333333334,0.41666666666666663
HSC155,BA,C.parapsilosis,7.333333333333333,0.44,5.666666666666667,0.49833333333333335
HSC155,FLC,C.parapsilosis,22.666666666666668,0.20166666666666666,20,0.18833333333333335
HSC156,BA,C.albicans,14.333333333333334,0.13,13.166666666666666,0.1
HSC156,FLC,C.albicans,18.666666666666668,0.305,16.666666666666668,0.385
HSC157,BA,C.albicans,14,0.12333333333333334,12.666666666666666,0.08166666666666667
HSC157,FLC,C.albicans,20.833333333333332,0.46499999999999997,16.5,0.6116666666666666
HSC158,BA,C.albicans,16.833333333333332,0.16833333333333333,15.666666666666666,0.15166666666666667
HSC158,FLC,C.albicans,20.5,0.305,17.333333333333332,0.32666666666666666
HSC159,BA,C.glabrata,18.833333333333332,0.4033333333333333,13.333333333333334,0.3566666666666667
HSC159,FLC,C.glabrata,17.833333333333332,0.135,16.833333333333332,0.12166666666666667
HSC160,BA,C.albicans,15.666666666666666,0.22,13.833333333333334,0.19999999999999998
HSC160,FLC,C.albicans,17.333333333333332,0.43166666666666664,13.333333333333334,0.51
