Filename,OrbitId,ELB,Background,Celltype 1,ROIArea[pixel],ROI-Group
A02_FLC_8_t03.jpeg,240,local,0.787818,0.212182,1391744,0
A02_FLC_8_t04.jpeg,241,local,0.726073,0.273927,1391744,0
A02_FLC_8_t05.jpeg,242,local,0.787097,0.212903,1391744,0
A02_FLC_8_t06.jpeg,243,local,0.684776,0.315224,1391744,0
A02_FLC_8_t07.jpeg,244,local,0.627328,0.372672,1391744,0
A02_FLC_8_t08.jpeg,245,local,0.566177,0.433823,1391744,0
A02_FLC_8_t09.jpeg,246,local,0.574896,0.425104,1391744,0
A02_FLC_8_t10.jpeg,247,local,0.578496,0.421504,1391744,0
A02_FLC_8_t11.jpeg,248,local,0.559837,0.440163,1391744,0
A02_FLC_8_t12.jpeg,249,local,0.492496,0.507504,1391744,0
A02_FLC_8_t13.jpeg,250,local,0.501908,0.498092,1391744,0
A02_FLC_8_t14.jpeg,251,local,0.510972,0.489028,1391744,0
A02_FLC_8_t15.jpeg,252,local,0.523947,0.476053,1391744,0
A02_FLC_8_t16.jpeg,253,local,0.450801,0.549199,1391744,0
A02_FLC_8_t17.jpeg,254,local,0.446265,0.553735,1391744,0
A02_FLC_8_t18.jpeg,255,local,0.406399,0.593601,1391744,0
A02_FLC_8_t19.jpeg,256,local,0.451914,0.548086,1391744,0
A02_FLC_8_t20.jpeg,257,local,0.44936,0.55064,1391744,0
A02_FLC_8_t21.jpeg,258,local,0.457264,0.542736,1391744,0
A02_FLC_8_t22.jpeg,259,local,0.44484,0.55516,1391744,0
A02_FLC_8_t23.jpeg,260,local,0.482042,0.517958,1391744,0
A02_FLC_8_t24.jpeg,261,local,0.468243,0.531757,1391744,0
A02_ND_0_t0.jpeg,262,local,0.990143,0.009857,1391744,0
A02_ND_0_t01.jpeg,263,local,0.927104,0.072896,1391744,0
A02_ND_0_t02.jpeg,264,local,0.872548,0.127452,1391744,0
A02_ND_0_t03.jpeg,265,local,0.823734,0.176266,1391744,0
A02_ND_0_t04.jpeg,266,local,0.631541,0.368459,1391744,0
A02_ND_0_t05.jpeg,267,local,0.629404,0.370596,1391744,0
A02_ND_0_t06.jpeg,268,local,0.534812,0.465188,1391744,0
A02_ND_0_t07.jpeg,269,local,0.358245,0.641755,1391744,0
A02_ND_0_t08.jpeg,270,local,0.241988,0.758012,1391744,0
A02_ND_0_t09.jpeg,271,local,0.100205,0.899795,1391744,0
A02_ND_0_t10.jpeg,272,local,0.079915,0.920085,1391744,0
A02_ND_0_t11.jpeg,273,local,0.044475,0.955525,1391744,0
A02_ND_0_t12.jpeg,274,local,0.043981,0.956019,1391744,0
A02_ND_0_t13.jpeg,275,local,0.016022,0.983978,1391744,0
A02_ND_0_t14.jpeg,276,local,0.016678,0.983322,1391744,0
A02_ND_0_t15.jpeg,277,local,0.025443,0.974557,1391744,0
A02_ND_0_t16.jpeg,278,local,0.021207,0.978793,1391744,0
A02_ND_0_t17.jpeg,279,local,0.015642,0.984358,1391744,0
A02_ND_0_t18.jpeg,280,local,0.005091,0.994909,1391744,0
A02_ND_0_t19.jpeg,281,local,0.002401,0.997599,1391744,0
A02_ND_0_t20.jpeg,282,local,0.001406,0.998594,1391744,0
A02_ND_0_t21.jpeg,283,local,0.005112,0.994888,1391744,0
A02_ND_0_t22.jpeg,284,local,0.005701,0.994299,1391744,0
A02_ND_0_t23.jpeg,285,local,0.007768,0.992232,1391744,0
A02_ND_0_t24.jpeg,286,local,0.003316,0.996684,1391744,0
A03_BA_0.4_t0.jpeg,287,local,0.974732,0.025268,1391744,0
A03_BA_0.4_t01.jpeg,288,local,0.925918,0.074082,1391744,0
A03_BA_0.4_t02.jpeg,289,local,0.913282,0.086718,1391744,0
